Model,Dataset,Train Examples,Validation Examples,Epochs,Initial Val Loss,Final Val Loss,Best Val Loss,Best Epoch,Best Val Acc (%),Best Macro F1 (%),Final Train Loss,Final Loss Gap
BERT Emotion Classifier,GoEmotions (full),25873,3249,6,0.5021,1.1738,0.5021,4,83.47,79.95,0.0673,1.1065
Music Transformer Generator,EMOPIA (full),862,108,50,1.9172,1.5286,1.519,38,,,1.3909,0.1377
