Model,Dataset,Train Examples,Validation Examples,Epochs,Initial Val Loss,Final Val Loss,Best Val Loss,Best Epoch,Best Val Acc (%),Best Macro F1 (%),Final Train Loss,Final Loss Gap
BERT Emotion Classifier,GoEmotions subset,177,87,42,1.3818688,1.2384331,1.2384331,42,47.126436999999996,27.525952999999998,1.0657,0.17273309999999986
Music Transformer Generator,EMOPIA MIDI subset,76,10,42,4.3398845,2.0316255,2.0316255,42,,,1.9323494,0.09927609999999998
