epoch,train_loss,validation_loss,validation_accuracy,validation_macro_f1
1,0.7081,0.60053843,0.78372225,0.74897288
2,0.4612,0.65964025,0.80392715,0.77409032
3,0.3038,0.81136429,0.80250427,0.77166813
4,0.1924,1.0228561,0.80677291,0.77223017
5,0.1263,1.1620313,0.7985202,0.75971397
